scenario_id,dimension,group,seeds,spaces_supported,space_time_intervals,spaces_over_1,ratio_over_1_count,ratio_over_1_percent,ratio_over_1_5_count,ratio_over_1_5_percent,ratio_over_2_count,ratio_over_2_percent,p50,p90,p95,p99,maximum
EVENING_BANK,hvac_group,hvac_group_14,5,32,15360,21,2739,17.83203125,2274,14.8046875,2051,13.352864583333332,0.0,4.7763842130794885,7.913374667706892,11.323950271233645,16.857453177776197
EVENING_BANK,region,central_sector_1,5,26,12480,18,1864,14.935897435897436,1025,8.213141025641026,565,4.527243589743589,0.0,1.3801594588582735,1.8708460451565152,12.156599285207827,17.704226207598953
EVENING_BANK,region,central_sector_2,5,43,20640,25,1976,9.573643410852712,1504,7.286821705426356,1272,6.162790697674419,0.0,0.9399360950378409,3.110537586119675,6.792374438080903,11.534667075669848
EVENING_BANK,region,northeast_pier,5,44,21120,31,3215,15.222537878787879,2444,11.571969696969697,1809,8.565340909090908,0.0,1.8824454456373554,4.279482088550142,10.097017175251347,26.05928295904784
EVENING_BANK,region,northwest_pier,5,47,22560,38,4129,18.302304964539008,3150,13.962765957446807,2273,10.075354609929079,0.0,2.029178756516747,3.410750148041739,9.819512084748382,18.613243668875388
EVENING_BANK,region,south_central_pier,5,19,9120,19,963,10.55921052631579,398,4.364035087719298,85,0.9320175438596491,0.0,1.0447030938155526,1.4476127283151774,1.9843454865269463,3.48048801211142
EVENING_BANK,region,southeast_pier,5,51,24480,51,4825,19.709967320261438,4031,16.466503267973856,3514,14.354575163398692,0.0,4.38351802256131,8.017109403889101,12.907482297567181,59.169394781117
EVENING_BANK,region,southwest_pier,5,46,22080,35,4142,18.759057971014492,3151,14.270833333333332,2428,10.996376811594203,0.0,2.276958049041395,6.721538415305326,10.681309897305407,16.857453177776197
EVENING_BANK,whole_model,whole_model,5,276,132480,217,21114,15.937499999999998,15703,11.853109903381643,11946,9.017210144927535,0.0,1.811362203809819,4.679735801617736,10.368128798756358,59.169394781117
MIDDAY_BANK,function,arrival_exit,5,6,2880,0,0,0.0,0,0.0,0,0.0,0.0,0.2094429199421784,0.27294042448893,0.3522553070215638,0.654107308530001
MIDDAY_BANK,function,baggage_claim,5,4,1920,4,342,17.8125,337,17.552083333333332,330,17.1875,0.16611400109642027,4.298144350070615,4.7849012753139775,5.675624237609718,8.226796036530205
MIDDAY_BANK,function,breakroom,5,9,4320,9,68,1.574074074074074,30,0.6944444444444444,9,0.20833333333333334,0.0,0.0,0.0,1.358989744377988,3.293645953241473
MIDDAY_BANK,function,central_hall,5,21,10080,21,1771,17.569444444444443,1468,14.563492063492065,1355,13.442460317460316,0.0,3.4193630865028832,5.32478137175619,7.95999795573788,11.952575391642672
MIDDAY_BANK,function,commercial,5,51,24480,16,846,3.4558823529411766,806,3.2924836601307192,782,3.194444444444444,0.0,0.0,0.0,10.800492156354448,67.88091163702491
MIDDAY_BANK,function,concourse,5,15,7200,15,1352,18.777777777777775,1120,15.555555555555555,983,13.652777777777777,0.0,2.9697378366693306,4.611952359818027,8.357492726644114,14.844330865100984
MIDDAY_BANK,function,departure_entry,5,2,960,2,241,25.104166666666668,181,18.854166666666668,170,17.708333333333336,0.5314208673060743,12.933673264241312,14.473702771286048,15.969213253995301,18.04473607378831
MIDDAY_BANK,function,domestic_waiting,5,63,30240,63,8123,26.86177248677249,6779,22.41732804232804,6139,20.300925925925924,0.07674509821865723,7.208883373923685,9.18002212621424,12.236696212697954,26.871879920225044
MIDDAY_BANK,function,international_arrival,5,13,6240,13,165,2.644230769230769,47,0.7532051282051282,24,0.38461538461538464,0.0,0.4409484749451248,0.6837927240042759,1.3770695450351838,3.48048801211142
MIDDAY_BANK,function,international_hall,5,2,960,0,0,0.0,0,0.0,0,0.0,0.0,0.11768556358843235,0.1514809616153753,0.19435828564185742,0.241265361604885
MIDDAY_BANK,function,office,5,65,31200,65,7689,24.644230769230766,4564,14.62820512820513,1853,5.939102564102564,0.0,1.7898067147653727,2.160682634681736,3.1314147732130406,4.623896848898278
MIDDAY_BANK,function,restaurant,5,22,10560,6,339,3.210227272727273,288,2.727272727272727,251,2.3768939393939394,0.0,0.0,0.0,5.529078987976506,23.83294187999457
MIDDAY_BANK,function,transfer,5,3,1440,3,23,1.597222222222222,0,0.0,0,0.0,0.0,0.5863487221811517,0.7823783354884417,1.088285272281355,1.4621503656581745
MIDDAY_BANK,hvac_group,hvac_group_01,5,12,5760,12,1279,22.20486111111111,502,8.715277777777777,64,1.1111111111111112,0.0,1.4956790462916918,1.6602951909427444,2.2114084314234344,2.948544575231245
MIDDAY_BANK,hvac_group,hvac_group_02,5,14,6720,6,583,8.675595238095237,518,7.708333333333334,500,7.440476190476191,0.010451266417290158,0.7754441089781595,4.390611762809318,13.793894368360544,18.04473607378831
