scenario_id,family,scope,group,metric,n,mean,p10,p50,p90,minimum,maximum
DOUBLE_BANK,timing,hvac_group,NW-VAV,person_hours,30,20121.404214149512,19177.05727527614,20106.98350030989,20925.165851829097,18732.365068433915,21821.13941149709
DOUBLE_BANK,timing,hvac_group,S-DOAS,daily_mean_occupancy,30,91.41642637385416,74.46052491572918,89.10593165833333,108.05014729395833,63.60764336354168,129.60862786666664
DOUBLE_BANK,timing,hvac_group,S-DOAS,daily_peak_occupancy,30,275.93382307750005,224.67950205750003,268.42241396250006,326.08352511000004,192.20370382500005,391.03512157499995
DOUBLE_BANK,timing,hvac_group,S-DOAS,person_hours,30,2193.9942329725004,1787.0525979775002,2138.5423597999998,2593.2035350549995,1526.5834407250004,3110.6070687999995
DOUBLE_BANK,timing,hvac_group,S-VAV,daily_mean_occupancy,30,40.799086757990864,40.799086757990864,40.79908675799087,40.79908675799087,40.79908675799086,40.799086757990885
DOUBLE_BANK,timing,hvac_group,S-VAV,daily_peak_occupancy,30,173.03673058520295,159.31085318012134,167.96797801162944,203.27954830481485,150.27002272886452,208.2792489381536
DOUBLE_BANK,timing,hvac_group,S-VAV,person_hours,30,979.1780821917807,979.1780821917807,979.1780821917808,979.1780821917808,979.1780821917806,979.1780821917813
DOUBLE_BANK,timing,hvac_group,SE-DOAS,daily_mean_occupancy,30,32.396020194513895,23.99784750343751,31.02138323229167,41.80062351864584,17.6739038,47.95887437395834
DOUBLE_BANK,timing,hvac_group,SE-DOAS,daily_peak_occupancy,30,99.37152411550001,72.24208178250002,99.1947850775,125.92656457500001,53.02171140000001,145.80970635
DOUBLE_BANK,timing,hvac_group,SE-DOAS,person_hours,30,777.5044846683335,575.9483400825002,744.513197575,1003.2149644475002,424.17369120000006,1151.012984975
DOUBLE_BANK,timing,hvac_group,SE-VAV,daily_mean_occupancy,30,1549.5436029901039,1501.2619223528977,1552.7685878431644,1590.487482435348,1496.4363674964072,1617.0377298079818
DOUBLE_BANK,timing,hvac_group,SE-VAV,daily_peak_occupancy,30,4630.828252943449,4458.494691438514,4615.884961894108,4901.7508156948525,4344.711789349429,5009.498666473612
DOUBLE_BANK,timing,hvac_group,SE-VAV,person_hours,30,37189.04647176249,36030.28613646954,37266.44610823595,38171.69957844835,35914.472819913775,38808.90551539156
DOUBLE_BANK,timing,hvac_group,SW-DOAS,daily_mean_occupancy,30,110.61531805381946,94.6934627034375,111.01420824375003,125.39266539770833,90.21055064583335,134.30325856354168
DOUBLE_BANK,timing,hvac_group,SW-DOAS,daily_peak_occupancy,30,333.63911898450004,284.3289273825,334.69955321250006,377.779693725,271.73627092500004,404.29054942500005
DOUBLE_BANK,timing,hvac_group,SW-DOAS,person_hours,30,2654.767633291667,2272.6431048825,2664.3409978500003,3009.423969545,2165.0532155000005,3223.2782055250004
DOUBLE_BANK,timing,hvac_group,SW-VAV,daily_mean_occupancy,30,1490.2356330796342,1454.2890819063678,1480.9893538465967,1543.122962100061,1410.531526113518,1572.4695988407557
DOUBLE_BANK,timing,hvac_group,SW-VAV,daily_peak_occupancy,30,4553.711268080321,4314.348745970713,4534.763667736028,4797.790073451718,4196.254727183797,5107.979379077291
DOUBLE_BANK,timing,hvac_group,SW-VAV,person_hours,30,35765.65519391122,34902.937965752826,35543.74449231832,37034.95109040146,33852.75662672443,37739.270372178136
DOUBLE_BANK,timing,hvac_group,zuoffice11-FCU,daily_mean_occupancy,30,0.0,0.0,0.0,0.0,0.0,0.0
DOUBLE_BANK,timing,hvac_group,zuoffice11-FCU,daily_peak_occupancy,30,0.0,0.0,0.0,0.0,0.0,0.0
DOUBLE_BANK,timing,hvac_group,zuoffice11-FCU,person_hours,30,0.0,0.0,0.0,0.0,0.0,0.0
DOUBLE_BANK,timing,region,central_sector_1,daily_mean_occupancy,30,1338.621364849553,1311.4139855102126,1337.0871718113583,1368.2098117841708,1297.2288366790665,1387.5314389071918
DOUBLE_BANK,timing,region,central_sector_1,daily_peak_occupancy,30,4046.6136390055026,3873.3547886550473,4048.6890585025008,4229.557913298944,3737.6037598933194,4309.0812011358685
DOUBLE_BANK,timing,region,central_sector_1,person_hours,30,32126.912756389265,31473.935652245098,32090.092123472597,32837.0354828201,31133.492080297598,33300.754533772604
DOUBLE_BANK,timing,region,central_sector_2,daily_mean_occupancy,30,731.4575778871466,704.4144341842252,728.659926020812,760.7127743140584,698.9322380079052,797.0765806291669
DOUBLE_BANK,timing,region,central_sector_2,daily_peak_occupancy,30,2204.287129507694,2089.2865163472434,2194.325293090108,2317.648476888014,2055.4578658334035,2491.2489468214135
DOUBLE_BANK,timing,region,central_sector_2,person_hours,30,17554.981869291518,16905.946420421402,17487.838224499486,18257.106583537403,16774.373712189725,19129.837935100004
DOUBLE_BANK,timing,region,northeast_pier,daily_mean_occupancy,30,1064.3816930049934,1022.9000867593768,1062.0492734668514,1107.506466708494,986.3432525588951,1133.3999384393526
DOUBLE_BANK,timing,region,northeast_pier,daily_peak_occupancy,30,3219.26406985309,2913.464403613645,3234.971632918144,3504.4761354476436,2875.9877026819504,3690.5095503291072
DOUBLE_BANK,timing,region,northeast_pier,person_hours,30,25545.160632119845,24549.602082225043,25489.18256320443,26580.15520100385,23672.23806141348,27201.59852254446
DOUBLE_BANK,timing,region,northwest_pier,daily_mean_occupancy,30,992.5935845251532,944.046693950915,990.1496564364736,1040.6719275046548,940.5984126698419,1055.9772520646068
DOUBLE_BANK,timing,region,northwest_pier,daily_peak_occupancy,30,2991.3138447061588,2765.9311234005336,3009.1735884269674,3174.791477125351,2637.475858424339,3393.0835925648294
DOUBLE_BANK,timing,region,northwest_pier,person_hours,30,23822.246028603677,22657.12065482196,23763.59175447537,24976.126260111716,22574.361904076206,25343.45404955056
DOUBLE_BANK,timing,region,south_central_pier,daily_mean_occupancy,30,132.21551313184506,115.25961167372004,129.9050184163242,148.8492340519492,104.40673012153256,170.40771462465753
DOUBLE_BANK,timing,region,south_central_pier,daily_peak_occupancy,30,432.75360075761176,379.1564259983071,419.52855535889296,494.8386598414354,354.89126413126826,599.3143705131536
DOUBLE_BANK,timing,region,south_central_pier,person_hours,30,3173.172315164281,2766.2306801692807,3117.7204419917807,3572.381617246781,2505.7615229167814,4089.7851509917805
DOUBLE_BANK,timing,region,southeast_pier,daily_mean_occupancy,30,1581.9396231846179,1536.4397681296475,1582.3430182332215,1630.4694326436993,1517.1591777349279,1645.66577190069
DOUBLE_BANK,timing,region,southeast_pier,daily_peak_occupancy,30,4684.752920558543,4486.833277196473,4638.268722415119,4947.342452025915,4411.519225467944,5064.712859058208
DOUBLE_BANK,timing,region,southeast_pier,person_hours,30,37966.55095643083,36874.554435111546,37976.23243759732,39131.266383448776,36411.82026563827,39495.97852561656
DOUBLE_BANK,timing,region,southwest_pier,daily_mean_occupancy,30,1600.8509511334535,1555.3311030423633,1591.880363238312,1659.7150638909393,1518.8762384708098,1686.6135608824225
DOUBLE_BANK,timing,region,southwest_pier,daily_peak_occupancy,30,4743.577271635388,4432.212618424271,4775.227683339002,4984.178244648269,4333.1694814042985,5211.088063535287
DOUBLE_BANK,timing,region,southwest_pier,person_hours,30,38420.42282720289,37327.94647301672,38205.12871771949,39833.16153338255,36453.029723299434,40478.72546117814
EVENING_BANK,timing,function,arrival_exit,daily_mean_occupancy,30,32.63926940639269,32.63926940639269,32.63926940639269,32.63926940639269,32.63926940639269,32.6392694063927
EVENING_BANK,timing,function,arrival_exit,daily_peak_occupancy,30,201.01302083658902,189.7337304601107,199.59260544336115,211.96540168364868,187.50338514671776,223.6560560182748
EVENING_BANK,timing,function,arrival_exit,person_hours,30,783.3424657534247,783.3424657534246,783.3424657534246,783.3424657534247,783.3424657534246,783.3424657534248
EVENING_BANK,timing,function,baggage_claim,daily_mean_occupancy,30,652.7853881278538,652.7853881278538,652.7853881278538,652.7853881278539,652.7853881278538,652.7853881278539
EVENING_BANK,timing,function,baggage_claim,daily_peak_occupancy,30,3861.126428490279,3683.4970494451136,3840.7609072580635,4063.8923657372434,3607.0046074023685,4179.976585820049
EVENING_BANK,timing,function,baggage_claim,person_hours,30,15666.849315068492,15666.849315068492,15666.849315068492,15666.849315068494,15666.849315068492,15666.849315068494
EVENING_BANK,timing,function,breakroom,daily_mean_occupancy,30,6.928415760486113,5.928121899583335,6.903868671875003,8.118949558125003,4.970785443750001,8.744900317708336
EVENING_BANK,timing,function,breakroom,daily_peak_occupancy,30,365.82035215366676,313.00483629800004,364.5242658750001,428.68053666900016,262.45747143000006,461.730736775
EVENING_BANK,timing,function,breakroom,person_hours,30,166.28197825166671,142.27492559000004,165.69284812500007,194.85478939500007,119.29885065000003,209.87760762500005
EVENING_BANK,timing,function,central_hall,daily_mean_occupancy,30,469.189497716895,469.18949771689495,469.189497716895,469.189497716895,469.18949771689495,469.189497716895
EVENING_BANK,timing,function,central_hall,daily_peak_occupancy,30,2675.5492124389307,2599.9521498110626,2673.1938534682167,2744.1146061183167,2561.0654777304417,2793.9391193986125
EVENING_BANK,timing,function,central_hall,person_hours,30,11260.547945205479,11260.547945205479,11260.54794520548,11260.54794520548,11260.547945205479,11260.54794520548
EVENING_BANK,timing,function,commercial,daily_mean_occupancy,30,48.09192351598173,44.64440068493151,48.19392123287671,51.71284246575342,39.473116438356165,52.018835616438345
EVENING_BANK,timing,function,commercial,daily_peak_occupancy,30,381.83173395570054,327.63426121307964,369.8982014419797,446.7256460911839,291.4180957914986,574.4174503482944
