source_space_name,category,nearest_entrance_space,adjacency_hops,flow_distance_band,flow_phase_steps,flow_phase_minutes,is_flow_entrance,phase_basis,phase_semantics
x-b-office-14,office,z-u-hall-2,6,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-b-office-15,office,z-u-hall-2,5,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-b-office-16,office,z-u-hall-2,5,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-b-office-17,office,z-u-hall-2,5,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-b-office-18,office,z-u-hall-2,5,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-b-office-2,office,z-u-hall-2,7,2,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-b-office-3,office,z-u-hall-2,9,2,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-b-office-4,office,z-u-hall-2,10,2,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-b-office-5,office,z-u-hall-2,10,2,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-b-office-6,office,z-u-hall-2,10,2,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-b-office-7,office,z-u-hall-2,8,2,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-b-office-8,office,z-u-hall-2,8,2,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-b-office-9,office,z-u-hall-2,6,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-b-restroom-1,restroom,z-u-hall-2,8,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-restroom-3,restroom,z-u-hall-2,6,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-restroom-4,restroom,z-u-hall-2,6,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-restroom-5,restroom,z-u-hall-2,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-b-restroom-6,restroom,z-u-hall-2,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
