analysis_scope,scenario_id,period_id,category,space_name,zone_name,metric,baseline,value,delta,delta_pct
seasonal_zone,entrance_2_lead,winter,commerce_retail,P2-1-commerce 2,Thermal Zone: P2-1-commerce 2,heating_peak_kw,3.1237905247136704,3.123564066484025,-0.00022645822964539875,-0.007249469125851713
seasonal_zone,public_perimeter,summer,office,d-b-office-5,dboffice 5,cooling_kwh,36.62416050079497,36.62678878100661,0.002628280211638412,0.007176356196837226
seasonal_zone,public_evening,summer,terminal_hall,x-n-hall-12,xnhall12,cooling_kwh,259.3009230120268,259.28234445089885,-0.01857856112792433,-0.007164865019420942
seasonal_zone,entrance_3_lead,winter,commerce_retail,x-b-commerce-4,xbcommerce4,heating_kwh,215.4589900405607,215.4436604010017,-0.01532963955901323,-0.007114875808211757
seasonal_zone,entrance_3_lead,winter,commerce_retail,x-b-commerce-3,xbcommerce3,heating_kwh,215.45928342273942,215.443960645626,-0.015322777113425445,-0.007111681088886556
seasonal_zone,entrance_2_lead,winter,commerce_retail,P2-1-commerce 3,Thermal Zone: P2-1-commerce 3,heating_peak_kw,3.491445440621091,3.491197230911497,-0.00024820970959371635,-0.007109081720307864
seasonal_zone,entrance_3_lead,winter,commerce_retail,P1-1-commerce 1,Thermal Zone: P1-1-commerce 1,heating_peak_kw,9.643118792220092,9.643803304021352,0.0006845118012606122,0.007098448292609077
seasonal_zone,entrance_2_lead,shoulder,office,n-office-2,noffice2,heating_kwh,41.83620597226706,41.83917452017576,0.002968547908700714,0.007095643210736041
seasonal_zone,public_evening,winter,breakroom,z-u-breakroom-2,zubreakroom2,heating_peak_kw,48.863205708451105,48.859742532348925,-0.0034631761021799434,-0.007087492627568174
seasonal_zone,entrance_2_lead,winter,commerce_retail,d-b-commerce-8,dbcommerce8,heating_kwh,373.28361326166794,373.2571873175259,-0.026425944142033586,-0.0070793207103654115
seasonal_zone,public_core,summer,breakroom,z-u-breakroom-2,zubreakroom2,cooling_kwh,305.9156547880968,305.89402001037047,-0.0216347777263195,-0.007072138149093935
seasonal_zone,entrance_3_lead,winter,terminal_hall,n-hall-7,nhall7,heating_peak_kw,7.25074848708391,7.250236733910879,-0.0005117531730309821,-0.007057935797146894
seasonal_zone,public_evening,winter,terminal_hall,x-n-hall-3,xnhall3,heating_kwh,320.1241235936029,320.1015379401976,-0.022585653405315043,-0.007055280043183341
seasonal_zone,entrance_2_lead,winter,terminal_hall,hall-4-2,Thermal Zone: hall-4-2,heating_peak_kw,22.085084764702867,22.083529300007026,-0.0015554646958406693,-0.007043055131609301
seasonal_zone,public_evening,winter,terminal_hall,n-hall-3,nhall3,heating_peak_kw,21.10798514020519,21.106508382822113,-0.0014767573830773983,-0.00699620249525646
seasonal_zone,public_evening,winter,terminal_hall,x-b-hall-14,xbhall14,heating_kwh,380.8871897464267,380.8606018386071,-0.026587907819589418,-0.006980520357560503
seasonal_zone,entrance_2_lead,winter,commerce_retail,d-b-commerce-5,dbcommerce5,heating_peak_kw,1.875416322937216,1.8752855607166719,-0.0001307622205442005,-0.006972436943462504
seasonal_zone,entrance_3_lead,winter,terminal_hall,x-b-hall-9,xbhall9,heating_peak_kw,35.208393707053624,35.20593899335679,-0.0024547136968351424,-0.006971955941129364
seasonal_zone,public_evening,winter,office,P1-1-office 2,Thermal Zone: P1-1-office 2,cooling_peak_kw,16.155105708562306,16.15397955807793,-0.0011261504843780301,-0.006970864225179061
seasonal_zone,public_evening,winter,breakroom,z-u-breakroom-1,zubreakroom1,heating_peak_kw,48.87857665056593,48.87518393819246,-0.0033927123734756037,-0.006941103047517489
seasonal_zone,entrance_2_lead,winter,commerce_retail,z-l-commerce-4,zlcommerce4,heating_kwh,890.0527799106342,890.1145542389952,0.061774328361025255,0.006940524175120009
seasonal_zone,entrance_3_lead,winter,terminal_hall,x-n-hall-10,xnhall10,heating_peak_kw,7.025475372626443,7.024987830979614,-0.0004875416468284044,-0.006939625021361923
seasonal_zone,public_evening,winter,office,n-office-5,noffice5,heating_peak_kw,21.160593919431108,21.159125875741612,-0.0014680436894956017,-0.00693762989396788
seasonal_zone,public_perimeter,shoulder,office,n-office-4,noffice4,heating_peak_kw,2.858917709631894,2.8587202641659273,-0.00019744546596678347,-0.0069063011258272975
seasonal_zone,entrance_2_lead,shoulder,breakroom,d-b-breakroom-3,dbbreakroom3,heating_peak_kw,3.562812498043299,3.5625664626395244,-0.0002460354037747692,-0.006905651192980044
seasonal_zone,public_evening,winter,terminal_hall,x-n-hall-6,xnhall6,heating_kwh,562.5203934748416,562.4816755271918,-0.038717947649843154,-0.006882941151817066
seasonal_zone,entrance_2_lead,winter,terminal_hall,hall-1-8,Thermal Zone: hall-1-8,heating_peak_kw,9.554407370732305,9.553750603526318,-0.0006567672059869523,-0.006873971147585827
seasonal_zone,entrance_2_lead,winter,commerce_retail,d-b-commerce-1,dbcommerce1,heating_peak_kw,3.5217846531295045,3.5215430881797967,-0.00024156494970783982,-0.006859162995476797
seasonal_zone,public_perimeter,shoulder,office,d-b-office-2,dboffice2,heating_peak_kw,8.497463205904026,8.498044775610193,0.0005815697061670733,0.006844039121734583
seasonal_zone,entrance_3_lead,summer,office,d-b-office-7,dboffice7,cooling_peak_kw,2.6351787766931385,2.635359038312191,0.00018026161905249083,0.00684058404867314
seasonal_zone,entrance_3_lead,winter,commerce_retail,d-b-commerce-3,dbcommerce3,heating_peak_kw,7.476622179168939,7.4771334017281745,0.0005112225592354136,0.006837613924905301
seasonal_zone,public_evening,winter,terminal_hall,x-n-hall-10,xnhall10,heating_peak_kw,7.025475372626443,7.025954701775892,0.0004793291494493701,0.0068227290542785726
seasonal_zone,entrance_3_lead,shoulder,office,z-u-office-5,zuoffice5,heating_kwh,45.004634392542386,45.00770413491176,0.003069742369376627,0.0068209472442360445
seasonal_zone,public_evening,winter,terminal_hall,x-n-hall-16,xnhall16,heating_kwh,277.79079603246544,277.7719094876768,-0.018886544788642823,-0.006798837491518455
seasonal_zone,entrance_3_lead,winter,commerce_retail,x-b-commerce-3,xbcommerce3,heating_peak_kw,11.8710062981632,11.870199275826891,-0.0008070223363088047,-0.006798263904835727
seasonal_zone,entrance_3_lead,winter,commerce_retail,x-b-commerce-4,xbcommerce4,heating_peak_kw,11.871007006082174,11.870199988037985,-0.0008070180441883679,-0.0067982273430964016
seasonal_zone,entrance_2_lead,winter,commerce_retail,d-b-commerce-7,dbcommerce7,heating_peak_kw,14.722225212426926,14.721224899967455,-0.0010003124594710755,-0.006794573816373348
seasonal_zone,public_evening,shoulder,terminal_hall,x-b-hall-16,xbhall16,heating_peak_kw,10.957613275810873,10.956870957939952,-0.0007423178709213829,-0.006774448524844939
seasonal_zone,public_evening,winter,terminal_hall,z-l-hall-5,zlhall5,heating_kwh,1762.7800639769637,1762.6607713399032,-0.11929263706042548,-0.006767301236167395
